kind,exam_id,examination,conducting_body,file,requirement_id,what_we_hold_now,what_is_missing,what_would_settle_it,source_we_hold,YOUR_published_value,YOUR_exact_passage_from_the_notice,YOUR_source_url,YOUR_page_or_section,YOUR_date_checked,YOUR_notes
estimated_value,bihar-police-constable-recruitment,Bihar Police Constable Recruitment,"Central Selection Board of Constable, Bihar",Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://csbc.bihar.gov.in/,,,,,,
not_yet_supported,bihar-secondary-teacher-eligibility-test,Bihar Secondary Teacher Eligibility Test,Bihar School Examination Board,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://secondary.biharboardonline.com/,,,,,,
estimated_value,bihar-secondary-teacher-eligibility-test,Bihar Secondary Teacher Eligibility Test,Bihar School Examination Board,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://secondary.biharboardonline.com/,,,,,,
not_yet_supported,bits-admission-test,BITS Admission Test,Birla Institute of Technology and Science Pilani,Recent passport-size photograph,recent_passport_size_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://www.bitsadmission.com/bitsat/download/BITSAT-2025_brochure.pdf?21012025=,,,,,,
estimated_value,bits-admission-test,BITS Admission Test,Birla Institute of Technology and Science Pilani,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://www.bitsadmission.com/bitsat/download/BITSAT-2025_brochure.pdf?21012025=,,,,,,
estimated_value,bpsc-online-application,BPSC Online Application,Bihar Public Service Commission,Claim-supporting certificates,claim_supporting_certificates,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://bpsconline.bihar.gov.in/downloads/Instruction_Online_Application.pdf,,,,,,
estimated_value,bpsc-online-application,BPSC Online Application,Bihar Public Service Commission,Candidate signature (English),candidate_signature_english,"max 20 KB, jpg (ours: formats.allowed_formats)",The published accepted formats,This file's upload instructions in the current notice,https://bpsconline.bihar.gov.in/downloads/Instruction_Online_Application.pdf,,,,,,
estimated_value,bpsc-online-application,BPSC Online Application,Bihar Public Service Commission,Candidate signature (Hindi),candidate_signature_hindi,"max 20 KB, jpg (ours: formats.allowed_formats)",The published accepted formats,This file's upload instructions in the current notice,https://bpsconline.bihar.gov.in/downloads/Instruction_Online_Application.pdf,,,,,,
estimated_value,bpsc-teacher-recruitment-examination-tre,BPSC Teacher Recruitment Examination (TRE),Bihar Public Service Commission,English signature,english_signature,"max 20 KB, jpg (ours: formats.allowed_formats)",The published accepted formats,This file's upload instructions in the current notice,https://bpsc.bihar.gov.in/wp-content/uploads/BPSC_content/Notices/NB-2025-06-19-02.pdf,,,,,,
estimated_value,bpsc-teacher-recruitment-examination-tre,BPSC Teacher Recruitment Examination (TRE),Bihar Public Service Commission,Hindi signature,hindi_signature,"max 20 KB, jpg (ours: formats.allowed_formats)",The published accepted formats,This file's upload instructions in the current notice,https://bpsc.bihar.gov.in/wp-content/uploads/BPSC_content/Notices/NB-2025-06-19-02.pdf,,,,,,
estimated_value,bpsc-teacher-recruitment-examination-tre,BPSC Teacher Recruitment Examination (TRE),Bihar Public Service Commission,Educational/teacher-eligibility/supporting certificates,educational_teacher_eligibility_supporting_certi,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://bpsc.bihar.gov.in/wp-content/uploads/BPSC_content/Notices/NB-2025-06-19-02.pdf,,,,,,
photograph_no_pixel_size,bssc-second-inter-level-combined-competitive-examination,BSSC Second Inter-Level Combined Competitive Examination,Bihar Staff Selection Commission,Photograph,candidate_photograph,"min 20 KB, max 50 KB, jpg","Pixel width x height (and whether mandatory or preferred), any cm size, any dpi",The photograph section of the current information bulletin or notice,https://www.onlinebssc.com/25interlevela/awscdn/notice/How_To_Apply_02_23A.pdf,,,,,,
not_yet_supported,cg-vyapam-pre-b-ed-entrance-examination,CG Vyapam Pre-B.Ed Entrance Examination,Chhattisgarh Professional Examination Board,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://vyapam.cgstate.gov.in/,,,,,,
estimated_value,cg-vyapam-pre-b-ed-entrance-examination,CG Vyapam Pre-B.Ed Entrance Examination,Chhattisgarh Professional Examination Board,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://vyapam.cgstate.gov.in/,,,,,,
estimated_value,common-admission-test-2025,Common Admission Test 2025,Indian Institutes of Management,Category certificate,category_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://cdn.digialm.com/per/g06/pub/32842/EForms/image/CAT2025/Registration_Guide.pdf,,,,,,
estimated_value,common-admission-test-2025,Common Admission Test 2025,Indian Institutes of Management,PwD certificate,pwd_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://cdn.digialm.com/per/g06/pub/32842/EForms/image/CAT2025/Registration_Guide.pdf,,,,,,
estimated_value,cuet-pg-2026,CUET (PG) 2026,National Testing Agency,Category certificate,category_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://cdnbbsr.s3waas.gov.in/s388a839f2f6f1427879fc33ee4acf4f66/uploads/2025/12/202512161583029269.pdf,,,,,,
estimated_value,cuet-ug-2026,CUET (UG) 2026,National Testing Agency,Category certificate,category_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2026/01/202601031633478370.pdf,,,,,,
estimated_value,cuet-ug-2026,CUET (UG) 2026,National Testing Agency,Result-awaiting certificate,result_awaiting_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://cdnbbsr.s3waas.gov.in/s3d1a21da7bca4abff8b0b61b87597de73/uploads/2026/01/202601031633478370.pdf,,,,,,
not_yet_supported,dsssb-recruitment-examinations,DSSSB Recruitment Examinations,Delhi Subordinate Services Selection Board,Candidate photograph,candidate_photograph,Exact active size/format controlled by OARS upload page; not publicly established here,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://dsssb.delhi.gov.in/sites/default/files/DSSSB/circulars-orders/gen_inst_1.pdf,,,,,,
estimated_value,dsssb-recruitment-examinations,DSSSB Recruitment Examinations,Delhi Subordinate Services Selection Board,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://dsssb.delhi.gov.in/sites/default/files/DSSSB/circulars-orders/gen_inst_1.pdf,,,,,,
estimated_value,dsssb-recruitment-examinations,DSSSB Recruitment Examinations,Delhi Subordinate Services Selection Board,Left thumb impression,left_thumb_impression,"min 20 KB, max 50 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://dsssb.delhi.gov.in/sites/default/files/DSSSB/circulars-orders/gen_inst_1.pdf,,,,,,
estimated_value,dsssb-recruitment-examinations,DSSSB Recruitment Examinations,Delhi Subordinate Services Selection Board,Right thumb impression,right_thumb_impression,"min 20 KB, max 50 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://dsssb.delhi.gov.in/sites/default/files/DSSSB/circulars-orders/gen_inst_1.pdf,,,,,,
not_yet_supported,dsssb-recruitment-examinations,DSSSB Recruitment Examinations,Delhi Subordinate Services Selection Board,Photograph ID / photo identity proof,photograph_id_photo_identity_proof,Exact active size/format controlled by OARS upload page,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://dsssb.delhi.gov.in/sites/default/files/DSSSB/circulars-orders/gen_inst_1.pdf,,,,,,
not_yet_supported,gate-2026,GATE 2026,IIT Guwahati,Valid photo identity document,valid_photo_identity_document,Scanned copy of the valid photo ID whose original will be produced at the examination centre. Upload must be clear and readable.,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://gate2026.iitg.ac.in/doc/IB/GATE2026-IB-28092025.pdf,,,,,,
estimated_value,gate-2026,GATE 2026,IIT Guwahati,SC/ST certificate,sc_st_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://gate2026.iitg.ac.in/doc/IB/GATE2026-IB-28092025.pdf,,,,,,
estimated_value,gate-2026,GATE 2026,IIT Guwahati,UDID/PwD certificate,udid_pwd_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://gate2026.iitg.ac.in/doc/IB/GATE2026-IB-28092025.pdf,,,,,,
estimated_value,gate-2026,GATE 2026,IIT Guwahati,Dyslexia certificate,dyslexia_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://gate2026.iitg.ac.in/doc/IB/GATE2026-IB-28092025.pdf,,,,,,
not_yet_supported,gate-2026,GATE 2026,IIT Guwahati,Scribe/compensatory-time annexure(s),scribe_compensatory_time_annexure_s,PDF; numeric file-size maximum not published,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://gate2026.iitg.ac.in/doc/IB/GATE2026-IB-28092025.pdf,,,,,,
not_yet_supported,gujarat-police-lokrakshak-recruitment,Gujarat Police Lokrakshak Recruitment,Gujarat Police Recruitment Board,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://ojas.gujarat.gov.in/,,,,,,
estimated_value,gujarat-police-lokrakshak-recruitment,Gujarat Police Lokrakshak Recruitment,Gujarat Police Recruitment Board,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://ojas.gujarat.gov.in/,,,,,,
no_researched_fact,gujarat-police-lokrakshak-recruitment,Gujarat Police Lokrakshak Recruitment,Gujarat Police Recruitment Board,Worth knowing,,Nothing shown,"3-6 facts about the examination itself (candidates, process, structure, history), each with its passage and publisher",See docs/research-requests facts prompt,https://ojas.gujarat.gov.in/,,,,,,
not_yet_supported,gujarat-police-psi-recruitment,Gujarat Police PSI Recruitment,Gujarat Police Recruitment Board,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://ojas.gujarat.gov.in/,,,,,,
estimated_value,gujarat-police-psi-recruitment,Gujarat Police PSI Recruitment,Gujarat Police Recruitment Board,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://ojas.gujarat.gov.in/,,,,,,
no_researched_fact,gujarat-police-psi-recruitment,Gujarat Police PSI Recruitment,Gujarat Police Recruitment Board,Worth knowing,,Nothing shown,"3-6 facts about the examination itself (candidates, process, structure, history), each with its passage and publisher",See docs/research-requests facts prompt,https://ojas.gujarat.gov.in/,,,,,,
not_yet_supported,gujcet,GUJCET,Gujarat Secondary and Higher Secondary Education Board,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://gujcet.gseb.org/,,,,,,
estimated_value,gujcet,GUJCET,Gujarat Secondary and Higher Secondary Education Board,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://gujcet.gseb.org/,,,,,,
not_yet_supported,haryana-cet-group-c,Haryana CET Group C,Haryana Staff Selection Commission,Candidate photograph/profile image,candidate_photograph_profile_image,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://hssc.gov.in/,,,,,,
estimated_value,haryana-cet-group-c,Haryana CET Group C,Haryana Staff Selection Commission,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://hssc.gov.in/,,,,,,
not_yet_supported,haryana-cet-group-c,Haryana CET Group C,Haryana Staff Selection Commission,PwBD scribe/supporting documents (conditional),pwbd_scribe_supporting_documents_conditional,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://hssc.gov.in/,,,,,,
not_yet_supported,haryana-teacher-eligibility-test,Haryana Teacher Eligibility Test,Board of School Education Haryana,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://bseh.org.in/,,,,,,
estimated_value,haryana-teacher-eligibility-test,Haryana Teacher Eligibility Test,Board of School Education Haryana,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://bseh.org.in/,,,,,,
not_yet_supported,hssc-cet-group-d,HSSC CET Group D,Haryana Staff Selection Commission,Candidate photograph/profile image,candidate_photograph_profile_image,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://hssc.gov.in/file/ac1f23cd-9d9c-1328-819e-da8c1fe70055/advertisements,,,,,,
estimated_value,hssc-cet-group-d,HSSC CET Group D,Haryana Staff Selection Commission,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://hssc.gov.in/file/ac1f23cd-9d9c-1328-819e-da8c1fe70055/advertisements,,,,,,
not_yet_supported,hssc-cet-group-d,HSSC CET Group D,Haryana Staff Selection Commission,PwBD scribe/supporting documents (conditional),pwbd_scribe_supporting_documents_conditional,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://hssc.gov.in/file/ac1f23cd-9d9c-1328-819e-da8c1fe70055/advertisements,,,,,,
estimated_value,ibps-crp-specialist-officers-xvi,IBPS CRP Specialist Officers-XVI,Institute of Banking Personnel Selection,SSC/SSLC/Class 10 certificate,ssc_sslc_class_10_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://www.ibps.in/wp-content/uploads/Detailed-Notification-CRP-SPL-XVI_Final_V1_30.06.2026.pdf,,,,,,
estimated_value,ibps-crp-specialist-officers-xvi,IBPS CRP Specialist Officers-XVI,Institute of Banking Personnel Selection,Scribe eligibility certificate,scribe_eligibility_certificate,max 400 KB (ours: file_size.maximum_bytes),The published size limit,This file's upload instructions in the current notice,https://www.ibps.in/wp-content/uploads/Detailed-Notification-CRP-SPL-XVI_Final_V1_30.06.2026.pdf,,,,,,
no_researched_fact,icsi-student-registration-and-examination,ICSI Student Registration and Examination,Institute of Company Secretaries of India,Worth knowing,,Nothing shown,"3-6 facts about the examination itself (candidates, process, structure, history), each with its passage and publisher",See docs/research-requests facts prompt,https://smash.icsi.edu/Scripts/Registration/Instructions.aspx?ID=R2,,,,,,
not_yet_supported,indian-air-force-agniveervayu-recruitment,Indian Air Force Agniveervayu Recruitment,Indian Air Force,Candidate photograph,candidate_photograph,not_found,"The file's size limit (KB) and accepted formats, or confirmation that the portal takes it as an upload",The upload instructions for this file in the current notice or portal guide,https://agnipathvayu.cdac.in/,,,,,,
estimated_value,indian-air-force-agniveervayu-recruitment,Indian Air Force Agniveervayu Recruitment,Indian Air Force,Candidate signature,candidate_signature,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://agnipathvayu.cdac.in/,,,,,,
estimated_value,indian-air-force-agniveervayu-recruitment,Indian Air Force Agniveervayu Recruitment,Indian Air Force,Left thumb impression,left_thumb_impression,"min 20 KB, max 50 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://agnipathvayu.cdac.in/,,,,,,
estimated_value,indian-air-force-agniveervayu-recruitment,Indian Air Force Agniveervayu Recruitment,Indian Air Force,Parent/guardian signature (where applicable),parent_guardian_signature_where_applicable,"min 10 KB, max 20 KB, jpg (ours: file_size.maximum_bytes, file_size.minimum_bytes, formats.allowed_formats)",The published size limit and size limit and accepted formats,This file's upload instructions in the current notice,https://agnipathvayu.cdac.in/,,,,,,
